model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,262144,128.0,524.288,170.44326400000003,167.25333333333336,0.9813333333333333,2.1538133333333334,0.15291733333333332,370.4224958470637,70.6524841016891,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,4800.0,2400.0
LLaMA-3-70B,dense,262144,128.0,524.288,37.08654933333333,36.044799999999995,0.39594666666666667,0.5051733333333334,0.180224,489.1784807274601,93.30339064168169,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,4800.0,4800.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,169.36635733333335,167.25333333333336,0.9813333333333333,1.0769066666666667,0.15291733333333332,372.7778069108537,71.10172403542589,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,4800.0,4800.0
LLaMA-3-70B,dense,262144,128.0,524.288,36.833962666666665,36.044799999999995,0.39594666666666667,0.2525866666666667,0.180224,492.5329925124175,93.94321298836088,0.7976828010496,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,4800.0,9600.0
DeepSeek-V3-MoE,moe,262144,128.0,524.288,168.82790400000002,167.25333333333336,0.9813333333333333,0.5384533333333333,0.15291733333333332,373.96673035282123,71.32849318558144,2.25116684288,True,Compute Pipeline Bound (Balanced Design),512x512,128.0,4800.0,9600.0
LLaMA-3-70B,dense,262144,256.0,524.288,39.048533333333324,36.044799999999995,1.5837866666666667,1.0103466666666667,0.5679786666666666,464.59982769230777,88.61538461538463,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,1200.0,2400.0
DeepSeek-V3-MoE,moe,262144,256.0,524.288,173.39869866666672,167.25333333333336,3.925333333333333,2.1538133333333334,0.458752,364.1089566223887,69.44827206084989,2.228618264576,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,1200.0,2400.0
LLaMA-3-70B,dense,262144,256.0,524.288,38.54335999999999,36.044799999999995,1.5837866666666667,0.5051733333333334,0.5679786666666666,470.6891630180659,89.7768331562168,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,1200.0,4800.0
DeepSeek-V3-MoE,moe,262144,256.0,524.288,172.32179200000004,167.25333333333336,3.925333333333333,1.0769066666666667,0.458752,366.3844167265854,69.88228163272579,2.228618264576,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,1200.0,4800.0
LLaMA-3-70B,dense,262144,256.0,524.288,38.29077333333333,36.044799999999995,1.5837866666666667,0.2525866666666667,0.5679786666666666,473.79408350864685,90.36904974148689,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,1200.0,9600.0
DeepSeek-V3-MoE,moe,262144,256.0,524.288,171.7833386666667,167.25333333333336,3.925333333333333,0.5384533333333333,0.458752,367.53284539259613,70.10132701732562,2.228618264576,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,1200.0,9600.0
LLaMA-3-70B,dense,262144,256.0,524.288,38.05183999999999,36.044799999999995,0.7918933333333333,1.0103466666666667,0.2839893333333333,476.7691091496233,90.93649085037676,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,2400.0,2400.0
DeepSeek-V3-MoE,moe,262144,256.0,524.288,171.4029226666667,167.25333333333336,1.9626666666666666,2.1538133333333334,0.229376,368.34855712456454,70.25691168299953,2.228618264576,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,2400.0,2400.0
LLaMA-3-70B,dense,262144,256.0,524.288,37.54666666666666,36.044799999999995,0.7918933333333333,0.5051733333333334,0.2839893333333333,483.18382080000003,92.16000000000001,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),512x512,256.0,2400.0,4800.0
